Extracted_Code,acc. date,fat.,Airport Code,Longitude,Latitude
TXL,14 Jan 2008,0,TXL,13.289444,52.561111
SHJ,2 Jan 2009,0,SHJ,55.517222,25.328611
TEX,3 Jan 2009,0,TEX,8.709722,42.095278
ILM,4 Jan 2009,0,ILM,-77.9025,34.270556
YVR,4 Jan 2009,0,YVR,-123.183333,49.193889
MNL,7 Jan 2009,0,MNL,121.016667,14.516667
SUQ,10 Jan 2009,0,SUQ,-78.183333,-2.466667
MLA,11 Jan 2009,0,MLA,14.483333,35.866667
MPH,11 Jan 2009,0,MPH,121.952222,11.925833
BSA,13 Jan 2009,0,BSA,49.183333,11.283333
SME,2 Jan 2010,0,SME,-84.6,37.083333
FIH,2 Jan 2010,0,FIH,15.444444,-4.385833
PWK,5 Jan 2010,2,PWK,-87.966667,42.0
ALA,5 Jan 2010,0,ALA,77.040278,43.351944
EAR,6 Jan 2010,0,EAR,-99.016667,40.733333
BWU,7 Jan 2010,0,BWU,150.983333,-33.916667
NAS,7 Jan 2010,0,NAS,-77.466111,25.038889
EGE,8 Jan 2010,0,EGE,-106.916667,39.633333
EWR,10 Jan 2010,0,EWR,-74.168611,40.6925
BDV,13 Jan 2010,0,BDV,29.733333,-7.083333
BEE,14 Jan 2010,0,BEE,141.6,-12.983333
SGC,1 Jan 2011,3,SGC,73.333333,61.233333
LAX,3 Jan 2011,0,LAX,-118.407222,33.9425
IST,5 Jan 2011,0,IST,28.821111,40.976944
KPN,6 Jan 2011,0,KPN,-164.033333,59.933333
SPI,6 Jan 2011,0,SPI,-89.683333,39.85
OMH,9 Jan 2011,78,OMH,45.068611,37.668056
HDS,10 Jan 2011,0,HDS,31.048611,-24.368611
KCH,10 Jan 2011,0,KCH,110.346944,1.484722
GYA,9 Jan 2012,0,GYA,-65.383333,-10.8
MDZ,2 Jan 2013,0,MDZ,-68.783333,-32.833333
SRZ,8 Jan 2013,0,SRZ,-63.166667,-17.8
BOO,2 Jan 2014,0,BOO,14.366667,67.266667
LAS,3 Jan 2014,0,LAS,-115.166667,36.083333
GDX,4 Jan 2014,0,GDX,150.716667,59.916667
JAI,5 Jan 2014,0,JAI,75.8,26.816667
ASE,5 Jan 2014,1,ASE,-106.868889,39.223056
MED,5 Jan 2014,0,MED,39.716667,24.533333
YJT,8 Jan 2014,0,YJT,-58.549722,48.533056
VKO,2 Jan 2015,0,VKO,37.266667,55.583333
SYY,2 Jan 2015,0,SYY,-6.333333,58.216667
GDX,3 Jan 2015,0,GDX,150.716667,59.916667
NBO,4 Jan 2015,0,NBO,36.933333,1.316667
MWJ,9 Jan 2015,0,MWJ,-59.9,6.55
ACC,10 Jan 2015,0,ACC,-0.166666999999999,5.6
EWI,11 Jan 2015,0,EWI,136.366667,-3.933333
AKP,2 Jan 2016,0,AKP,-151.733333,68.133333
ORD,3 Jan 2016,0,ORD,-87.904722,41.978611
PIE,4 Jan 2016,0,PIE,-82.6875,27.910556
SAV,6 Jan 2016,0,SAV,-81.2,32.133333
ROO,9 Jan 2016,0,ROO,-54.716667,-16.433333
SJU,10 Jan 2016,0,SJU,-66.001944,18.439444
SCF,2 Jan 2017,0,SCF,-111.933333,33.5
YYZ,3 Jan 2017,0,YYZ,-79.630556,43.677222
YYZ,3 Jan 2017,0,YYZ,-79.630556,43.677222
KGD,3 Jan 2017,0,KGD,20.575278,54.726389
WAW,3 Jan 2017,0,WAW,20.966667,52.166667
VKO,3 Jan 2017,0,VKO,37.266667,55.583333
ALA,4 Jan 2017,0,ALA,77.040278,43.351944
TGO,5 Jan 2017,2,TGO,122.265278,43.6125
HKG,11 Jan 2017,0,HKG,113.914722,22.308889
KLX,3 Jan 2018,0,KLX,22.025556,37.068333
KTT,4 Jan 2018,0+1,KTT,24.846944,67.701111
YYZ,5 Jan 2018,0,YYZ,-79.630556,43.677222
YYZ,5 Jan 2018,0,YYZ,-79.630556,43.677222
GHB,9 Jan 2018,0,GHB,-76.333333,25.283333
LGP,10 Jan 2018,0,LGP,123.733333,13.166667
RKS,10 Jan 2018,0,RKS,-109.066667,41.6
SVL,7 Jan 2019,0,SVL,28.9,61.916667
KTU,11 Jan 2019,0,KTU,76.5,25.0
HCR,2 Jan 2020,0,HCR,-159.783333,62.15
EGN,2 Jan 2020,18,EGN,22.45,13.483333
SIG,3 Jan 2020,0,SIG,-66.1,18.45
MMU,4 Jan 2020,0,MMU,-74.416667,40.8
CFA,7 Jan 2020,0,CFA,-157.5,58.230556
LGA,8 Jan 2020,0,LGA,-73.866667,40.766667
GOM,9 Jan 2020,0,GOM,29.238333,-1.670833
BEY,1 Jan 2021,0,BEY,35.488333,33.820833
HPN,2 Jan 2021,0,HPN,-73.7,41.066667
CGK,9 Jan 2021,62,CGK,106.655833,-6.125556
RTB,4 Jan 2022,0,RTB,-86.523056,16.316944
IFN,5 Jan 2022,0,IFN,51.861389,32.750833
HGH,8 Jan 2022,0,HGH,120.283333,30.3
EZE,2 Jan 2023,0,EZE,-58.535833,-34.822222
PVU,2 Jan 2023,1,PVU,-111.716667,40.233333
CBF,5 Jan 2023,0,CBF,-95.866667,41.266667
OVB,6 Jan 2023,0,OVB,83.0,55.033333
UTP,6 Jan 2023,0,UTP,100.983333,12.666667
ENI,9 Jan 2023,0,ENI,119.412778,11.205556
